tempo,dist
-0.00370943546295166,0
99.99629056453705,0
199.989830493927,0
299.9897185564041,3.44
399.99593102931976,6.22
499.98536348342896,7.46
599.9900414943695,9.26
699.9898550510406,11.37
799.9898895025253,12.72
899.9895884990692,14.11
999.9959723949432,14.9
1099.9896360635757,15.71
1199.9893075227737,16.35
1299.989769935608,16.69
1399.9887869358063,16.89
1499.9894320964813,16.87
1599.9956529140472,16.66
1699.9887855052948,16.38
1799.9897960424423,15.76
1899.9897660017014,15.07
1999.9897791147232,14.39
2099.9899253845215,13.25
2199.9895434379578,11.86
2299.989923477173,10.48
2399.9899039268494,9.37
2499.989986538887,7
2599.9952504634857,5.56
2699.989634990692,3.94
2799.9901064634323,1.15
2899.989273548126,0
2999.9898785352707,0
3099.9893474578857,0
3199.9961434602737,0
3299.9896210432053,0
3399.9961940050125,0
3499.9897639751434,0
3599.9959934949875,0
3699.9899455308914,0
3799.9951759576797,0
3899.9959233999252,0
3999.996383547783,0
4099.989798426628,0
4199.996343970299,0
4299.989737033844,0
4399.989935517311,0
