tempo,dist
-0.0038939714431762695,0
99.99610602855682,0
199.99578750133514,0
299.9899814128876,2.46
399.98998606204987,4.7
499.9893865585327,6.93
599.9895493984222,9.06
699.9958699941635,10.47
799.9900360107422,11.97
899.9900449514389,13.24
999.9959520101547,14.43
1099.994369983673,15.02
1199.9895099401474,15.73
1299.9962199926376,16.1
1399.9900914430618,16.28
1499.995894908905,16.31
1599.9901130199432,16.23
1699.9958200454712,16.03
1799.9900339841843,15.62
1899.9897084236145,14.95
1999.9961479902267,14.2
2099.995931982994,13.38
2199.9960255622864,12.03
2299.989765048027,10.74
2399.989588499069,9.73
2499.9960429668427,7.76
2599.995849609375,5.6
2699.989925980568,4.02
2799.9897735118866,1.57
2899.989755511284,0
2999.9895334243774,0
3099.995195388794,0
3199.9900970458984,0
3299.9898179769516,0
3399.9897339344025,0
3499.9961144924164,0
3599.996132016182,0
3699.99604344368,0
3799.982395529747,0
3899.9902465343475,0
3999.989433526993,0
4099.990032553673,0
4199.989950537682,0
4299.981904029846,0
4399.990023493767,0
