tempo,dist
-0.01019299030303955,0
99.98980700969696,0
199.98985147476196,0
299.98983001708984,2.67
399.9898051023483,4.76
499.9961324930191,7.09
599.9898819923401,9.43
699.9898855686188,10.73
799.9961910247803,12.05
899.9898175001144,12.89
999.9899384975433,14.05
1099.9898079633713,15.12
1199.9959715604782,15.59
1299.9959985017776,15.91
1399.9897729158401,16.14
1499.9895615577698,16.13
1599.9897665977478,15.89
1699.9960080385208,15.51
1799.9899730682373,15.07
1899.9958930015564,14.19
1999.9959824085236,13.51
2099.989704966545,12.13
2199.9897315502167,11.24
2299.9893184900284,9.7
2399.9949744939804,8.74
2499.989858031273,6.62
2599.9959869384766,4.72
2699.9960874319077,3.01
2799.9955345392227,0.44
2899.989872574806,0
2999.9898970127106,0
3099.9897450208664,0
3199.9896709918976,0
3299.9949769973755,0
3399.996055960655,0
3499.9943289756775,0
3599.9940600395203,0
3699.99612057209,0
3799.9899621009827,0
3899.9963480234146,0
3999.9898470640182,0
4099.995451927185,0
4199.990228533745,0
4299.989748477936,0
4399.990065455437,0
