tempo,dist
-0.005787014961242676,0
99.99421298503876,0
199.99547445774078,0
299.9947689771652,2.55
399.9959200620651,5.01
499.98918306827545,7.08
599.9894020557404,9
699.9953689575195,10.71
799.9889400005341,12.22
899.9960755109787,13.78
999.9913899898529,14.57
1099.9959070682526,15.51
1199.9961179494858,16.25
1299.9854714870453,16.63
1399.989308476448,16.83
1499.992499947548,16.79
1599.989238500595,16.69
1699.9962725639343,16.36
1799.9958955049515,15.57
1899.9957200288773,14.86
1999.9959524869919,14.04
2099.9891705513,12.97
2199.9949605464935,11.66
2299.9956879615784,9.73
2399.9902139902115,8.42
2499.99470102787,6.32
2599.9959139823914,4.83
2699.9898869991302,2.44
2799.9959394931793,0.31
2899.9959379434586,0
2999.994495511055,0
3099.9890545606613,0
3199.9953659772873,0
3299.995950460434,0
3399.9953964948654,0
3499.990087389946,0
3599.9888644218445,0
3699.987109065056,0
3799.9888060092926,0
3899.996097922325,0
3999.99569439888,0
4099.9853085279465,0
4199.9897084236145,0
4299.987832427025,0
4399.994224071503,0
