tempo,dist
-0.01187443733215332,0
99.98812556266785,0
199.9960114955902,0
299.98993504047394,2.72
399.98984003067017,5.12
499.99005150794983,7.03
599.989350438118,8.93
699.9899084568024,10.22
799.9959141016006,11.64
899.9896204471588,12.54
999.9899328947067,13.62
1099.9960030317307,14.3
1199.9897145032883,14.69
1299.9960894584656,14.99
1399.9898509979248,15.03
1499.9945160150528,14.9
1599.99014544487,14.69
1699.9886355400085,14.08
1799.989714026451,13.62
1899.989830493927,12.54
1999.9959264993668,11.81
2099.9959909915924,10.42
2199.989953994751,9.33
2299.989192008972,7.77
2399.996194601059,6.31
2499.9896545410156,4.69
2599.9896619319916,2.59
2699.990019917488,0.39
2799.9900435209274,0
2899.994565010071,0
2999.9959330558777,0
3099.9960654973984,0
3199.98994743824,0
3299.989830493927,0
3399.989948987961,0
3499.989583015442,0
3599.9961245059967,0
3699.989841580391,0
3799.9960824251175,0
3899.9899579286575,0
3999.9898394346237,0
4099.990081071854,0
4199.996205449104,0
4299.989866495132,0
4399.989760518074,0
